"","pdb","N_queries"
"1346","2IE3",206
"1347","2IEP",724
"1348","2IF5",359
"1349","2IFF",341
"1350","2IH1",225
"1351","2IHB",203
"1352","2IHC",355
"1353","2IHY",267
"1354","2IIM",435
"1355","2IK8",229
"1356","2IMM",337
"1357","2IMN",305
"1358","2INR",514
"1359","2IVS",320
"1360","2IVT",316
"1361","2IVV",315
"1362","2IW3",294
"1363","2IW5",1146
"1364","2IW6",1228
"1365","2IW8",1246
"1366","2IWH",390
"1367","2IWQ",405
"1368","2IX7",576
"1369","2IXE",613
"1370","2IXF",615
"1371","2IYB",235
"1372","2J04",492
"1373","2J05",318
"1374","2J0M",465
"1375","2J0Q",1073
"1376","2J0S",724
"1377","2J0U",249
"1378","2J3T",211
"1379","2J4W",348
"1380","2J4Y",827
"1381","2J51",1084
"1382","2J59",526
"1383","2J5U",248
"1384","2J68",202
"1385","2J6E",408
"1386","2J6F",412
"1387","2J7J",1106
"1388","2J7T",996
"1389","2J88",1196
"1390","2J8H",579
"1391","2J8S",638
"1392","2J90",575
"1393","2J9Q",358
"1394","2JAM",819
"1395","2JB5",893
"1396","2JC2",417
"1397","2JC6",941
"1398","2JDO",939
"1399","2JDQ",220
"1400","2JDS",946
"1401","2JDT",968
"1402","2JEE",533
"1403","2JET",269
"1404","2JFL",1088
"1405","2JFM",1082
"1406","2JGZ",1358
"1407","2JID",215
"1408","2JIX",1174
"1409","2JK5",237
"1410","2JOA",361
"1411","2JPT",415
"1412","2JT4",400
"1413","2JT9",281
"1414","2JWE",378
"1415","2JWN",733
"1416","2JXC",388
"1417","2K1E",241
"1418","2K2S",331
"1419","2K6D",642
"1420","2K79",524
"1421","2K7O",435
"1422","2KA9",379
"1423","2KAI",283
"1424","2KAX",354
"1425","2KBS",388
"1426","2KBX",761
"1427","2KFF",366
"1428","2KFT",316
"1429","2KGB",469
"1430","2KH2",911
"1431","2KOH",371
"1432","2KQF",379
"1433","2KQM",476
"1434","2KQN",506
"1435","2KRB",698
"1436","2KS9",783
"1437","2KT5",732
"1438","2KWI",661
"1439","2KWJ",224
"1440","2KXC",389
"1441","2KXW",523
"1442","2KYM",317
"1443","2L0P",400
"1444","2L1W",523
"1445","2L50",391
"1446","2L6J",345
"1447","2L6Y",202
"1448","2LCS",398
"1449","2LE9",358
"1450","2LFH",207
"1451","2LGG",308
"1452","2LHL",388
"1453","2LLO",476
"1454","2LLS",398
"1455","2LLT",399
"1456","2LLU",400
"1457","2LOB",390
"1458","2LP0",376
"1459","2LQC",481
"1460","2LUC",427
"1461","2LVE",220
"1462","2LXP",579
"1463","2LZ6",455
"1464","2M9G",378
"1465","2MGZ",748
"1466","2MH3",213
"1467","2MHO",380
"1468","2MKC",734
"1469","2MYS",505
"1470","2NCD",213
"1471","2NLJ",231
"1472","2NN2",361
"1473","2NNA",246
"1474","2NQ2",367
"1475","2NR6",360
"1476","2NTF",382
"1477","2NTN",269
"1478","2NTY",647
"1479","2NVU",437
"1480","2NWN",274
"1481","2NXQ",456
"1482","2NXY",256
"1483","2NYL",293
"1484","2NYY",729
"1485","2NZ0",859
"1486","2NZ8",271
"1487","2O23",220
"1488","2O26",290
"1489","2O72",231
"1490","2O88",390
"1491","2OAP",319
"1492","2OBG",250
"1493","2OBH",480
"1494","2OCF",366
"1495","2OCV",274
"1496","2OCY",931
"1497","2OD3",269
"1498","2ODB",657
"1499","2ODE",212
"1500","2OFV",318
"1501","2OFW",334
"1502","2OFX",360
"1503","2OI3",457
"1504","2OI9",225
"1505","2OLD",387
"1506","2OLJ",488
"1507","2OMT",496
"1508","2OMU",494
"1509","2OMV",498
"1510","2OMW",227
"1511","2OMX",729
"1512","2OMY",499
"1513","2OMZ",496
"1514","2ONC",216
"1515","2OND",227
"1516","2ONK",206
"1517","2OOE",240
"1518","2OP4",250
"1519","2OPO",500
"1520","2OQS",377
"1521","2OS8",574
"1522","2OSG",364
"1523","2OSL",409
"1524","2OT8",235
"1525","2OTO",218
"1526","2OTP",205
"1527","2OVP",302
"1528","2OXQ",221
"1529","2OYE",314
"1530","2OZ4",414
"1531","2OZA",928
"1532","2P1Y",365
"1533","2P24",242
"1534","2P2C",626
"1535","2P3W",351
"1536","2P4W",264
"1537","2P5S",570
"1538","2P5T",294
"1539","2P6B",553
"1540","2P7T",233
"1541","2P8Q",245
"1542","2PBI",935
"1543","2PCJ",279
"1544","2PD6",203
"1545","2PDZ",386
"1546","2PEY",281
"1547","2PGB",270
"1548","2PHK",764
"1549","2PK9",1145
"1550","2PKS",219
"1551","2PKU",377
"1552","2PL2",367
"1553","2PM6",845
"1554","2PM7",820
"1555","2PM9",806
"1556","2PMS",418
"1557","2PMY",452
"1558","2PMZ",208
"1559","2PNF",266
"1560","2PO6",255
"1561","2PPI",359
"1562","2PSQ",340
"1563","2PT7",661
"1564","2PUQ",452
"1565","2PUX",275
"1566","2PUY",485
"1567","2PVY",387
"1568","2PWL",379
"1569","2PWY",202
"1570","2PX0",470
"1571","2PXY",350
"1572","2PY3",324
"1573","2PZ5",373
"1574","2PZD",355
"1575","2PZP",384
"1576","2PZR",348
"1577","2Q0B",324
"1578","2Q0N",865
"1579","2Q13",575
"1580","2Q1E",429
"1581","2Q20",544
"1582","2Q21",490
"1583","2Q3X",314
"1584","2Q67",234
"1585","2Q68",232
"1586","2Q69",244
"1587","2Q6A",263
"1588","2Q81",356
"1589","2Q86",245
"1590","2QA7",291
"1591","2QAC",335
"1592","2QAG",615
"1593","2QBW",650
"1594","2QBY",431
"1595","2QCS",1039
"1596","2QE7",274
"1597","2QFC",314
"1598","2QFJ",696
"1599","2QHR",397
"1600","2QI9",303
"1601","2QIC",201
"1602","2QJP",209
"1603","2QKS",238
"1604","2QKT",315
"1605","2QKV",315
"1606","2QL2",205
"1607","2QM7",222
"1608","2QM8",211
"1609","2QNJ",801
"1610","2QNR",468
"1611","2QPT",446
"1612","2QQK",1260
"1613","2QQN",1177
"1614","2QR0",322
"1615","2QRZ",578
"1616","2QSC",860
"1617","2QT9",213
"1618","2QTV",747
"1619","2QUR",907
"1620","2QVF",230
"1621","2QWN",217
"1622","2QXL",255
"1623","2QXV",791
"1624","2QY0",403
"1625","2R0K",206
"1626","2R0L",447
"1627","2R15",389
"1628","2R29",566
"1629","2R4R",1376
"1630","2R4S",757
"1631","2R56",1100
"1632","2R69",484
"1633","2R6F",235
"1634","2R6G",796
"1635","2R83",348
"1636","2R8S",1171
"1637","2R9P",270
"1638","2R9R",605
"1639","2R9S",267
"1640","2RA3",273
"1641","2RBL",243
"1642","2RCS",434
"1643","2RCZ",378
"1644","2RD0",680
"1645","2RDL",261
"1646","2REX",482
"1647","2REY",380
"1648","2RGI",288
"1649","2RGN",335
"1650","2RGU",216
"1651","2RHE",276
"1652","2RHM",247
"1653","2RI7",225
"1654","2RIP",216
"1655","2RKO",346
"1656","2ROL",376
"1657","2RPN",456
"1658","2RQW",288
"1659","2RU4",216
"1660","2SAS",364
"1661","2SCP",437
"1662","2THF",269
"1663","2TMA",1681
"1664","2UVD",203
"1665","2UVY",925
"1666","2UXW",315
"1667","2UYZ",258
"1668","2UZI",680
"1669","2UZT",1029
"1670","2UZX",579
"1671","2V0O",229
"1672","2V17",738
"1673","2V1D",1168
"1674","2V1R",408
"1675","2V1W",389
"1676","2V1Y",210
"1677","2V4H",823
"1678","2V55",1125
"1679","2V5M",666
"1680","2V5Q",451
"1681","2V5R",508
"1682","2V5S",664
"1683","2V5Y",391
"1684","2V66",274
"1685","2V6M",247
"1686","2V71",1088
"1687","2V74",217
"1688","2V7H",529
"1689","2V7N",634
"1690","2V90",363
"1691","2V9P",240
"1692","2V9T",856
"1693","2VAJ",321
"1694","2VAY",521
"1695","2VB6",487
"1696","2VC2",349
"1697","2VDU",854
"1698","2VE7",248
"1699","2VGL",346
"1700","2VGX",287
"1701","2VGY",324
"1702","2VHV",314
"1703","2VHW",314
"1704","2VJE",447
"1705","2VKN",357
"1706","2VKP",351
"1707","2VKW",327
"1708","2VKX",330
"1709","2VL5",797
"1710","2VO0",967
"1711","2VOE",318
"1712","2VPH",355
"1713","2VPK",356
"1714","2VQ2",353
"1715","2VRP",204
"1716","2VRW",868
"1717","2VRX",500
"1718","2VSO",337
"1719","2VSV",289
"1720","2VT4",837
"1721","2VWE",326
"1722","2VWF",457
"1723","2VWI",1058
"1724","2VXQ",655
"1725","2VXS",500
"1726","2VXV",794
"1727","2W2M",400
"1728","2W2N",367
"1729","2W60",255
"1730","2W7R",381
"1731","2W83",600
"1732","2W8B",468
"1733","2W96",789
"1734","2W99",580
"1735","2W9E",225
"1736","2W9F",568
"1737","2WAQ",235
"1738","2WAX",213
"1739","2WBJ",310
"1740","2WBL",623
"1741","2WBT",1115
"1742","2WCE",375
"1743","2WDZ",343
"1744","2WEL",633
"1745","2WFH",450
"1746","2WFN",206
"1747","2WIA",322
"1748","2WL7",390
"1749","2WLL",250
"1750","2WM9",687
"1751","2WNT",570
"1752","2WP3",294
"1753","2WPH",404
"1754","2WPI",278
"1755","2WPM",278
"1756","2WQH",489
"1757","2WTM",262
"1758","2WVR",812
"1759","2WWK",248
"1760","2WWX",771
"1761","2X0G",388
"1762","2X0L",1163
"1763","2X19",734
"1764","2X2U",223
"1765","2X3V",220
"1766","2X3W",443
"1767","2X72",879
"1768","2X7Z",359
"1769","2XA7",336
"1770","2XA8",1107
"1771","2XAA",224
"1772","2XAF",1154
"1773","2XCB",316
"1774","2XCH",767
"1775","2XCK",578
"1776","2XEU",651
"1777","2XFX",211
"1778","2XK9",831
"1779","2XL2",802
"1780","2XMS",226
"1781","2XND",214
"1782","2XOK",223
"1783","2XOT",512
"1784","2XPG",221
"1785","2XPI",362
"1786","2XQB",352
"1787","2XQN",263
"1788","2XRA",412
"1789","2XRW",280
"1790","2XS0",295
"1791","2XSZ",679
"1792","2XTJ",640
"1793","2XUA",205
"1794","2XUM",614
"1795","2XWB",669
"1796","2XWT",403
"1797","2XXA",498
"1798","2XXB",240
"1799","2XYI",778
"1800","2XZD",637
"1801","2XZM",1126
"1802","2XZQ",369
"1803","2Y06",375
"1804","2Y07",265
"1805","2Y0B",590
"1806","2Y0I",593
"1807","2Y1L",612
"1808","2Y1W",221
"1809","2Y25",473
"1810","2Y3A",655
"1811","2Y43",530
"1812","2Y5B",363
"1813","2Y5F",449
"1814","2Y5I",394
"1815","2Y5Y",247
"1816","2Y6S",415
"1817","2Y6U",236
"1818","2Y7J",553
"1819","2Y7Q",480
"1820","2Y8O",707
"1821","2Y93",213
"1822","2Y9Q",783
"1823","2YA9",326
"1824","2YAC",454
"1825","2YBA",784
"1826","2YBR",559
"1827","2YCF",835
"1828","2YCR",830
"1829","2YD6",688
"1830","2YD9",701
"1831","2YGG",503
"1832","2YGO",412
"1833","2YGP",414
"1834","2YGQ",516
"1835","2YHN",513
"1836","2YJT",207
"1837","2YKA",730
"1838","2YNN",784
"1839","2YNR",212
"1840","2YNS",209
"1841","2YPA",387
"1842","2YPL",323
"1843","2YPV",802
"1844","2YVU",497
"1845","2YY9",357
"1846","2YZ2",389
"1847","2Z0O",545
"1848","2Z17",372
"1849","2Z31",317
"1850","2Z3W",263
"1851","2Z64",489
"1852","2Z7X",490
"1853","2Z8C",275
"1854","2Z8H",355
"1855","2ZCH",1207
"1856","2ZCK",939
"1857","2ZDI",216
"1858","2ZEB",270
"1859","2ZEJ",903
"1860","2ZET",829
"1861","2ZFD",453
"1862","2ZGJ",270
"1863","2ZJF",234
"1864","2ZMV",209
"1865","2ZN8",434
"1866","2ZN9",434
"1867","2ZNE",438
"1868","2ZNW",462
"1869","2ZPK",339
"1870","2ZRS",434
"1871","2ZU0",357
"1872","2ZU6",339
"1873","2ZUO",468
"1874","2ZUQ",593
"1875","2ZVN",360
"1876","2ZVO",214
"1877","32C2",450
"1878","3A01",382
"1879","3A4L",398
"1880","3A4U",409
"1881","3A58",624
"1882","3A5T",342
"1883","3A60",991
"1884","3A67",409
"1885","3A6B",394
"1886","3A6C",311
"1887","3A6M",478
"1888","3A79",485
"1889","3A8R",433
"1890","3A98",405
"1891","3AAJ",434
"1892","3AAK",433
"1893","3AB0",256
"1894","3ABH",217
"1895","3ACO",218
"1896","3ADB",379
"1897","3AI1",205
"1898","3AI3",205
"1899","3AJI",589
"1900","3ALP",370
"1901","3AMA",983
"1902","3ANS",233
"1903","3ASK",414
"1904","3AUX",321
"1905","3AWD",286
"1906","3AXA",374
"1907","3AY4",273
"1908","3B08",219
"1909","3B13",678
"1910","3B2D",510
"1911","3B2T",337
"1912","3B2U",522
"1913","3B3F",221
"1914","3B4D",734
"1915","3B76",371
"1916","3B83",278
"1917","3B96",316
"1918","3B9K",324
"1919","3BB1",346
"1920","3BBP",679
"1921","3BC1",702
"1922","3BDW",215
"1923","3BDY",991
"1924","3BEG",735
"1925","3BEH",247
"1926","3BEU",266
"1927","3BEV",218
"1928","3BG0",813
"1929","3BH6",834
"1930","3BH7",804
"1931","3BHT",1370
"1932","3BIW",221
"1933","3BJI",249
"1934","3BKY",225
"1935","3BLH",828
"1936","3BN9",1355
"1937","3BPL",221
"1938","3BPS",398
"1939","3BSZ",881
"1940","3BT1",247
"1941","3BTR",208
"1942","3BZF",216
"1943","3C08",990
"1944","3C1V",347
"1945","3C2A",328
"1946","3C41",488
"1947","3C5J",201
"1948","3C5W",448
"1949","3C6L",259
"1950","3C7K",229
"1951","3C7N",373
"1952","3CAF",326
"1953","3CBX",380
"1954","3CBY",381
"1955","3CC0",378
"1956","3CCB",215
"1957","3CD3",319
"1958","3CD4",248
"1959","3CDC",470
"1960","3CDF",469
"1961","3CDY",495
"1962","3CEQ",359
"1963","3CF0",358
"1964","3CF1",548
"1965","3CFI",269
"1966","3CFS",768
"1967","3CFV",766
"1968","3CH8",646
"1969","3CII",220
"1970","3CIK",511
"1971","3CJT",213
"1972","3CLE",267
"1973","3CLV",599
"1974","3CLY",357
"1975","3CMY",384
"1976","3CPH",744
"1977","3CPJ",661
"1978","3CQU",939
"1979","3CR8",542
"1980","3CS0",568
"1981","3CSY",250
"1982","3CTM",232
"1983","3CUP",215
"1984","3CV0",359
"1985","3CVQ",360
"1986","3CWZ",695
"1987","3CX6",224
"1988","3CXD",666
"1989","3CXE",293
"1990","3CXR",236
"1991","3CYP",233
"1992","3CYY",380
"1993","3D0L",591
"1994","3D2E",280
"1995","3D2F",448
"1996","3D2U",295
"1997","3D2W",735
"1998","3D31",390
"1999","3D3W",234
"2000","3D48",303
"2001","3D5O",377
"2002","3D7T",272
"2003","3D7U",483
"2004","3D85",850
"2005","3D8B",384
"2006","3D94",241
"2007","3D9A",745
"2008","3DAK",1179
"2009","3DDC",709
"2010","3DEM",471
"2011","3DF0",484
"2012","3DGC",212
"2013","3DGG",890
"2014","3DHW",284
"2015","3DI2",208
"2016","3DIF",372
"2017","3DIN",310
"2018","3DIW",384
"2019","3DLQ",212
"2020","3DM5",563
"2021","3DM9",514
"2022","3DMD",620
"2023","3DMK",718
"2024","3DMM",239
"2025","3DND",995
"2026","3DOE",621
"2027","3DOH",232
"2028","3DPL",500
"2029","3DPU",492
"2030","3DQV",295
"2031","3DQZ",215
"2032","3DRX",346
"2033","3DRZ",346
"2034","3DUS",363
"2035","3DVF",382
"2036","3DVG",1305
"2037","3DVI",500
"2038","3DVN",1114
"2039","3DW8",893
"2040","3DWL",890
"2041","3DXB",748
"2042","3DXK",784
"2043","3DZ8",661
"2044","3DZD",293
"2045","3DZU",239
"2046","3E17",364
"2047","3E2H",308
"2048","3E3R",376
"2049","3E4U",353
"2050","3E5A",964
"2051","3E7O",227
"2052","3E83",245
"2053","3E87",949
"2054","3E8U",921
"2055","3E9N",203
"2056","3EA5",709
"2057","3EB5",510
"2058","3EDT",360
"2059","3EDX",275
"2060","3EE0",272
"2061","3EFD",1134
"2062","3EFF",427
"2063","3EG1",394
"2064","3EG5",588
"2065","3EGG",215
"2066","3EGH",347
"2067","3EGI",242
"2068","3EI1",816
"2069","3EI4",826
"2070","3EIQ",338
"2071","3EJJ",464
"2072","3ELA",341
"2073","3EMH",810
"2074","3EMK",288
"2075","3ENN",257
"2076","3ENS",574
"2077","3EO0",603
"2078","3EO9",1199
"2079","3EOA",319
"2080","3EOT",560
"2081","3EOY",236
"2082","3EQP",234
"2083","3ESK",374
"2084","3EU7",395
"2085","3EU9",588
"2086","3EVU",514
"2087","3EW3",314
"2088","3EWE",791
"2089","3EWT",494
"2090","3EX7",734
"2091","3EYF",464
"2092","3EYQ",773
"2093","3F12",668
"2094","3F1S",688
"2095","3F3F",812
"2096","3F3P",807
"2097","3F3Z",744
"2098","3F58",620
"2099","3F5W",236
"2100","3F6Q",761
"2101","3F6U",600
"2102","3F7P",534
"2103","3F89",225
"2104","3F8U",257
"2105","3F9I",220
"2106","3FBK",321
"2107","3FBY",201
"2108","3FCS",476
"2109","3FCT",354
"2110","3FCX",256
"2111","3FCY",236
"2112","3FE3",957
"2113","3FEX",211
"2114","3FF7",391
"2115","3FF8",413
"2116","3FFD",361
"2117","3FFS",315
"2118","3FGA",320
"2119","3FHC",578
"2120","3FHI",1039
"2121","3FHO",284
"2122","3FJ5",451
"2123","3FKS",215
"2124","3FM8",464
"2125","3FMG",1093
"2126","3FMO",578
"2127","3FMP",246
"2128","3FN0",555
"2129","3FOB",239
"2130","3FP2",351
"2131","3FTP",208
"2132","3FVQ",605
"2133","3FWB",493
"2134","3FWV",370
"2135","3FXI",543
"2136","3FXX",310
"2137","3FY5",354
"2138","3FZU",835
"2139","3G04",651
"2140","3G0F",272
"2141","3G33",644
"2142","3G3A",471
"2143","3G3B",466
"2144","3G5Z",213
"2145","3G6D",796
"2146","3G6J",1165
"2147","3G9P",201
"2148","3GA1",359
"2149","3GAA",447
"2150","3GBM",423
"2151","3GCG",587
"2152","3GCU",804
"2153","3GCW",364
"2154","3GDF",261
"2155","3GED",218
"2156","3GEH",628
"2157","3GGE",312
"2158","3GHE",463
"2159","3GHG",377
"2160","3GIC",274
"2161","3GIS",372
"2162","3GIZ",877
"2163","3GJ4",687
"2164","3GJ9",380
"2165","3GJE",924
"2166","3GKW",285
"2167","3GLF",347
"2168","3GLG",387
"2169","3GLH",301
"2170","3GO1",1217
"2171","3GOP",205
"2172","3GOV",395
"2173","3GQI",558
"2174","3GRP",270
"2175","3GRW",854
"2176","3GSN",354
"2177","3GTY",248
"2178","3GVC",228
"2179","3GZN",317
"2180","3H0G",244
"2181","3H0T",215
"2182","3H0Y",789
"2183","3H2U",740
"2184","3H2V",727
"2185","3H3P",441
"2186","3H42",668
"2187","3H4S",490
"2188","3H5C",803
"2189","3HA6",967
"2190","3HAE",778
"2191","3HAH",251
"2192","3HAI",262
"2193","3HAJ",300
"2194","3HC0",1053
"2195","3HC3",1121
"2196","3HC4",210
"2197","3HCS",571
"2198","3HCT",683
"2199","3HDQ",208
"2200","3HE6",337
"2201","3HEA",251
"2202","3HFM",734
"2203","3HG0",587
"2204","3HHM",978
"2205","3HHR",265
"2206","3HI4",251
"2207","3HI5",1039
"2208","3HIZ",279
"2209","3HK0",454
"2210","3HMW",999
"2211","3HNS",241
"2212","3HPL",227
"2213","3HQI",388
"2214","3HRZ",375
"2215","3HS5",318
"2216","3HTE",539
"2217","3HTM",354
"2218","3HU1",425
"2219","3HU2",429
"2220","3HU3",430
"2221","3HVE",352
"2222","3HVQ",383
"2223","3HW2",507
"2224","3HWS",447
"2225","3HXJ",225
"2226","3HXK",240
"2227","3HYM",352
"2228","3HYT",363
"2229","3HZK",283
"2230","3HZY",338
"2231","3I00",309
"2232","3I02",405
"2233","3I2C",547
"2234","3I3N",362
"2235","3I5G",550
"2236","3I5R",364
"2237","3I6U",780
"2238","3I6W",661
"2239","3I75",369
"2240","3IA2",256
"2241","3IAX",467
"2242","3ICQ",692
"2243","3ID2",321
"2244","3ID3",354
"2245","3IDX",865
"2246","3IEC",1031
"2247","3IFQ",251
"2248","3IFX",235
"2249","3IHP",274
"2250","3IJE",492
"2251","3IJH",585
"2252","3IJY",482
"2253","3IKC",498
"2254","3INU",391
"2255","3IP1",320
"2256","3IS3",263
"2257","3IS5",605
"2258","3ITD",262
"2259","3IVK",1161
"2260","3IXT",852
"2261","3JS2",344
"2262","3JSV",238
"2263","3JTD",525
"2264","3JTS",225
"2265","3JVG",209
"2266","3JVV",424
"2267","3JVZ",389
"2268","3JWD",1157
"2269","3JWO",1069
"2270","3JXT",388
"2271","3JYC",284
"2272","3JYH",213
"2273","3JZ1",272
"2274","3JZ7",219
"2275","3JZA",772
"2276","3K03",231
"2277","3K06",231
"2278","3K0D",233
"2279","3K0J",736
"2280","3K0W",516
"2281","3K1J",450
"2282","3K1K",372
"2283","3K1R",519
"2284","3K21",465
"2285","3K53",581
"2286","3K5S",245
"2287","3K65",269
"2288","3K6S",594
"2289","3K74",201
"2290","3K7U",224
"2291","3K9I",339
"2292","3K9O",233
"2293","3KB7",455
"2294","3KCG",482
"2295","3KD7",461
"2296","3KDM",331
"2297","3KDS",340
"2298","3KEA",576
"2299","3KF9",506
"2300","3KHJ",288
"2301","3KJ4",835
"2302","3KJ6",767
"2303","3KK8",833
"2304","3KK9",927
"2305","3KL8",837
"2306","3KLD",664
"2307","3KNB",298
"2308","3KR3",1126
"2309","3KRK",318
"2310","3KRW",511
"2311","3KSR",264
"2312","3KV4",271
"2313","3KVQ",615
"2314","3KVT",345
"2315","3KYC",421
"2316","3KYD",258
"2317","3KYK",815
"2318","3KYM",240
"2319","3KZ1",261
"2320","3L0I",769
"2321","3L19",465
"2322","3L1P",225
"2323","3L3Q",212
"2324","3L4F",442
"2325","3L5W",845
"2326","3L5X",941
"2327","3L6F",213
"2328","3L95",1186
"2329","3L9M",1037
"2330","3LAQ",279
"2331","3LCP",415
"2332","3LD8",308
"2333","3LDC",235
"2334","3LDD",234
"2335","3LEV",556
"2336","3LHD",215
"2337","3LI6",455
"2338","3LIZ",712
"2339","3LK0",443
"2340","3LL8",515
"2341","3LLL",262
"2342","3LLM",226
"2343","3LLS",296
"2344","3LLU",332
"2345","3LMJ",298
"2346","3LND",242
"2347","3LNE",230
"2348","3LNG",235
"2349","3LNH",235
"2350","3LNI",234
"2351","3LOH",700
"2352","3LQA",255
"2353","3LQV",745
"2354","3LQZ",211
"2355","3LRQ",560
"2356","3LRS",430
"2357","3LS4",210
"2358","3LTF",246
"2359","3LTM",230
"2360","3LUT",664
"2361","3LVG",208
"2362","3LW8",629
"2363","3LXX",244
"2364","3M0C",486
"2365","3M0E",227
"2366","3M0W",340
"2367","3M18",477
"2368","3M1A",265
"2369","3M1I",826
"2370","3M1L",206
"2371","3M3W",205
"2372","3M52",355
"2373","3M5B",333
"2374","3M6A",418
"2375","3M7F",514
"2376","3M81",241
"2377","3M8O",295
"2378","3M8V",354
"2379","3M99",411
"2380","3M9B",310
"2381","3MA9",994
"2382","3MB5",215
"2383","3MBE",414
"2384","3MBX",329
"2385","3MDL",318
"2386","3MH4",208
"2387","3MH5",208
"2388","3MH7",550
"2389","3MHH",452
"2390","3MI9",812
"2391","3MJ7",222
"2392","3MJ9",667
"2393","3MJG",417
"2394","3MJH",703
"2395","3MKQ",981
"2396","3MKR",278
"2397","3MKS",332
"2398","3ML4",376
"2399","3MLP",241
"2400","3MLR",582
"2401","3MLU",579
"2402","3MLV",555
"2403","3MLW",442
"2404","3MLX",288
"2405","3MLY",290
"2406","3MME",398
"2407","3MMY",793
"2408","3MQ9",260
"2409","3MQB",201
"2410","3MSE",445
"2411","3MSX",831
"2412","3MTN",365
"2413","3MTR",575
"2414","3MUG",418
"2415","3MUJ",220
"2416","3MVJ",1078
"2417","3MWJ",290
"2418","3MXV",410
"2419","3MYW",288
"2420","3MZG",296
"2421","3N1G",249
"2422","3N2Z",233
"2423","3N3K",352
"2424","3N50",224
"2425","3N74",219
"2426","3N85",1014
"2427","3N8W",302
"2428","3N8Y",306
"2429","3N9L",207
"2430","3N9U",654
"2431","3N9X",346
"2432","3NA9",1032
"2433","3NAU",373
"2434","3NBY",724
"2435","3NC1",742
"2436","3NCC",265
"2437","3NCJ",1015
"2438","3NFK",370
"2439","3NFP",1131
"2440","3NGH",380
"2441","3NH7",901
"2442","3NI0",241
"2443","3NJP",285
"2444","3NMZ",579
"2445","3NNH",700
"2446","3NOC",633
"2447","3NOG",593
"2448","3NOX",214
"2449","3NPZ",280
"2450","3NSK",238
"2451","3NSL",260
"2452","3NT1",323
"2453","3NTC",315
"2454","3NUM",235
"2455","3NWU",220
"2456","3NX8",1096
"2457","3NXA",391
"2458","3NXS",224
"2459","3NZH",544
"2460","3NZI",244
"2461","3O0R",735
"2462","3O0Z",473
"2463","3O11",214
"2464","3O17",253
"2465","3O2D",655
"2466","3O38",270
"2467","3O41",468
"2468","3O46",374
"2469","3O47",711
"2470","3O4O",440
"2471","3O4X",288
"2472","3O4Y",461
"2473","3O6F",306
"2474","3O6K",214
"2475","3O71",739
"2476","3O7L",777
"2477","3OAY",337
"2478","3OBV",267
"2479","3OCB",934
"2480","3ODU",830
"2481","3OE0",878
"2482","3OE6",828
"2483","3OGC",233
"2484","3OGK",274
"2485","3OHT",729
"2486","3OHU",357
"2487","3OJ2",662
"2488","3OJA",1473
"2489","3OJD",953
"2490","3OJM",667
"2491","3OJV",782
"2492","3OJY",332
"2493","3OKD",317
"2494","3OKK",308
"2495","3OLM",230
"2496","3OLT",318
"2497","3OML",211
"2498","3ONW",243
"2499","3OPZ",332
"2500","3OQ3",314
"2501","3OR6",240
"2502","3OR7",233
"2503","3OTP",565
"2504","3OUF",276
"2505","3OUS",229
"2506","3OUW",208
"2507","3OXI",330
"2508","3OZ6",470
"2509","3OZ9",638
"2510","3P0G",1114
"2511","3P0V",1150
"2512","3P30",798
"2513","3P3Y",688
"2514","3P4K",725
"2515","3P5B",427
"2516","3P5C",464
"2517","3P5T",750
"2518","3P72",494
"2519","3P73",224
"2520","3PCR",525
"2521","3PDO",213
"2522","3PE3",392
"2523","3PEU",204
"2524","3PF8",282
"2525","3PF9",254
"2526","3PFI",283
"2527","3PGF",1119
"2528","3PGH",325
"2529","3PHO",813
"2530","3PIH",252
"2531","3PIQ",1185
"2532","3PJS",303
"2533","3PK0",248
"2534","3PL6",597
"2535","3PM8",450
"2536","3PMH",480
"2537","3PN7",557
"2538","3PNW",1147
"2539","3PP2",409
"2540","3PPE",249
"2541","3PPZ",566
"2542","3PQ1",433
"2543","3PS4",385
"2544","3PSC",510
"2545","3PSE",231
"2546","3PTG",333
"2547","3PV2",546
"2548","3PV3",435
"2549","3PV5",547
"2550","3PVB",1004
"2551","3PVS",664
"2552","3PXG",428
"2553","3PXI",497
"2554","3PXK",385
"2555","3PXW",221
"2556","3Q0K",217
"2557","3Q15",378
"2558","3Q2L",229
"2559","3Q2N",230
"2560","3Q2S",754
"2561","3Q2V",233
"2562","3Q2W",243
"2563","3Q3G",590
"2564","3Q3J",509
"2565","3Q47",369
"2566","3Q4Z",1145
"2567","3Q6F",1240
"2568","3Q6G",651
"2569","3Q6I",213
"2570","3Q7E",246
"2571","3Q84",210
"2572","3Q8W",223
"2573","3Q9U",593
"2574","3QAL",892
"2575","3QAM",844
"2576","3QAZ",236
"2577","3QBJ",205
"2578","3QBT",662
"2579","3QBV",778
"2580","3QDO",387
"2581","3QE1",386
"2582","3QE6",209
"2583","3QEG",580
"2584","3QF4",1112
"2585","3QFV",260
"2586","3QG5",363
"2587","3QGL",383
"2588","3QH0",317
"2589","3QH9",237
"2590","3QHR",1419
"2591","3QHT",340
"2592","3QI2",211
"2593","3QIB",321
"2594","3QIK",286
"2595","3QIT",269
"2596","3QIU",337
"2597","3QIV",208
"2598","3QJM",373
"2599","3QK6",230
"2600","3QKR",272
"2601","3QKT",239
"2602","3QL9",304
